Model Year;Make;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range
2023;113;330E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;22
2019;113;I8;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;18
2017;113;740E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2016;113;I8;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;14
2020;113;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;20
2023;113;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2022;113;745LE;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;16
2022;113;530E;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2020;113;I8;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;17
2017;114;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;33
2023;114;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32
2018;114;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;33
2020;114;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32
2021;114;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32
2022;114;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32
2019;114;PACIFICA;Plug-in Hybrid Electric Vehicle (PHEV);Clean Alternative Fuel Vehicle Eligible;32
2016;115;FUSION;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2013;115;FUSION;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2016;115;C-MAX;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2013;115;FOCUS;Battery Electric Vehicle (BEV);Clean Alternative Fuel Vehicle Eligible;76
2017;115;FUSION;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;21
2015;115;FUSION;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2014;115;C-MAX;Plug-in Hybrid Electric Vehicle (PHEV);Not eligible due to low battery range;19
2023;115;MUSTANG MACH-E;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
2022;115;TRANSIT;Battery Electric Vehicle (BEV);Eligibility unknown as battery range has not been researched;NOT TESTED
